MetricId	CatalogType	LongDescription
QueueNumWrapUpAgents	Q	Real-time count of agents whose current status is "Wrap Up" (after-call work entry state). Counts a specific Agent State, not a status group.
QueueNumIcomingOnlineInteractions	Q	Counts every incoming non-voice digital interactions (chat and e-mail) interaction registered since the start of the business day, regardless of current state — waiting in queue, in progress, answered or abandoned. This is the gross inbound load (offered contacts) for the Business Unit. Unlike the 'excluding waiting' counterpart, interactions still sitting in the queue are included, so the value can grow before any agent has answered.
QueueLoginDataNumTrainingUsers	AG	Real-time count of agents whose current status belongs to the TRAINING status group. NOTE: this row carries an anomalous DataType ("String" instead of "UsersSummary") and empty default columns — harmless to the engine (DataType is ignored for status counters) but should be normalised.
QueueNumAnsweredCallsAndCallbacks	Q	Counts incoming combined voice load: external incoming calls and callbacks that were successfully connected to an agent today. The interaction is counted as soon as it is answered, even if it is still in progress.
QueueNumAnsweredChats	Q	Counts incoming incoming chat interactions that were successfully connected to an agent today. The interaction is counted as soon as it is answered, even if it is still in progress.
QueueNumAnsweredInteractions	Q	Counts incoming non-voice digital interactions (chat and e-mail) that were successfully connected to an agent today. The interaction is counted as soon as it is answered, even if it is still in progress.
QueueNumWaitingCalls	Q	Real-time snapshot: how many external incoming voice calls are currently in the queue, not yet connected to an agent. Rises when arrivals exceed answering capacity. This is a 'now' metric — it has no daily accumulation.
QueueNumWaitingCallbacks	Q	Real-time snapshot: how many callback interactions (customer-requested return calls handled by the queue) are currently in the queue, not yet connected to an agent. Rises when arrivals exceed answering capacity. This is a 'now' metric — it has no daily accumulation.
QueueNumWaitingCallsAndCallbacks	Q	Real-time snapshot: how many combined voice load: external incoming calls and callbacks are currently in the queue, not yet connected to an agent. Rises when arrivals exceed answering capacity. This is a 'now' metric — it has no daily accumulation.
QueueNumWaitingChats	Q	Real-time snapshot: how many incoming chat interactions are currently in the queue, not yet connected to an agent. Rises when arrivals exceed answering capacity. This is a 'now' metric — it has no daily accumulation.
QueueNumWaitingInteractions	Q	Real-time snapshot: how many non-voice digital interactions (chat and e-mail) are currently in the queue, not yet connected to an agent. Rises when arrivals exceed answering capacity. This is a 'now' metric — it has no daily accumulation.
QueuePctAnsweredCallsTotal	Q	Answered external incoming voice calls divided by incoming completed external incoming voice calls (answered + abandoned, waiting excluded). Shown as a percentage. This is the classic Answer Rate of the queue.
QueuePctAnsweredCallbacksTotal	Q	Answered callback interactions (customer-requested return calls handled by the queue) divided by incoming completed callback interactions (customer-requested return calls handled by the queue) (answered + abandoned, waiting excluded). Shown as a percentage. This is the classic Answer Rate of the queue.
QueuePctAnsweredCallsAndCallbacksTotal	Q	Answered combined voice load: external incoming calls and callbacks divided by incoming completed combined voice load: external incoming calls and callbacks (answered + abandoned, waiting excluded). Shown as a percentage. This is the classic Answer Rate of the queue.
QueuePctAnsweredChatsTotal	Q	Answered incoming chat interactions divided by incoming completed incoming chat interactions (answered + abandoned, waiting excluded). Shown as a percentage. This is the classic Answer Rate of the queue.
QueuePctAnsweredInteractionsTotal	Q	Answered non-voice digital interactions (chat and e-mail) divided by incoming completed non-voice digital interactions (chat and e-mail) (answered + abandoned, waiting excluded). Shown as a percentage. This is the classic Answer Rate of the queue.
QueuePctAbandonedCallsTotal	Q	Abandoned external incoming voice calls divided by incoming completed external incoming voice calls. The standard Abandonment Rate KPI: a direct measure of customers lost in the queue. Callback requests are not counted as abandoned.
QueuePctAbandonedCallsAndCallbacksTotal	Q	Abandoned combined voice load: external incoming calls and callbacks divided by incoming completed combined voice load: external incoming calls and callbacks. The standard Abandonment Rate KPI: a direct measure of customers lost in the queue. Callback requests are not counted as abandoned.
QueuePctAbandonedInteractionsTotal	Q	Abandoned non-voice digital interactions (chat and e-mail) divided by incoming completed non-voice digital interactions (chat and e-mail). The standard Abandonment Rate KPI: a direct measure of customers lost in the queue. Callback requests are not counted as abandoned.
QueuePctAbandonedChatsTotal	Q	Abandoned incoming chat interactions divided by incoming completed incoming chat interactions. The standard Abandonment Rate KPI: a direct measure of customers lost in the queue. Callback requests are not counted as abandoned.
QueueNumAnsweredCalls30sec	Q	Counts incoming external incoming voice calls answered by an agent where the time in queue was less than 30 seconds. This is the numerator for Service Level calculations with a 30-second target.
QueueNumAnsweredCallbacks30sec	Q	Counts incoming callback interactions (customer-requested return calls handled by the queue) answered by an agent where the time in queue was less than 30 seconds. This is the numerator for Service Level calculations with a 30-second target.
QueueNumAnsweredCallsAndCallbacks30sec	Q	Counts incoming combined voice load: external incoming calls and callbacks answered by an agent where the time in queue was less than 30 seconds. This is the numerator for Service Level calculations with a 30-second target.
QueueNumAnsweredChats30sec	Q	Counts incoming incoming chat interactions answered by an agent where the time in queue was less than 30 seconds. This is the numerator for Service Level calculations with a 30-second target.
QueueNumAnsweredInteractions30sec	Q	Counts incoming non-voice digital interactions (chat and e-mail) answered by an agent where the time in queue was less than 30 seconds. This is the numerator for Service Level calculations with a 30-second target.
QueueNumAnsweredCallsAndCallbacks60sec	Q	Counts incoming combined voice load: external incoming calls and callbacks answered by an agent where the time in queue was less than 60 seconds. This is the numerator for Service Level calculations with a 60-second target.
QueueNumAnsweredChats60sec	Q	Counts incoming incoming chat interactions answered by an agent where the time in queue was less than 60 seconds. This is the numerator for Service Level calculations with a 60-second target.
QueueNumAnsweredInteractions60sec	Q	Counts incoming non-voice digital interactions (chat and e-mail) answered by an agent where the time in queue was less than 60 seconds. This is the numerator for Service Level calculations with a 60-second target.
QueueNumAnsweredCalls120sec	Q	Counts incoming external incoming voice calls answered by an agent where the time in queue was less than 120 seconds. This is the numerator for Service Level calculations with a 120-second target.
QueueNumAnsweredCallbacks120sec	Q	Counts incoming callback interactions (customer-requested return calls handled by the queue) answered by an agent where the time in queue was less than 120 seconds. This is the numerator for Service Level calculations with a 120-second target.
QueueNumAnsweredCallsAndCallbacks120sec	Q	Counts incoming combined voice load: external incoming calls and callbacks answered by an agent where the time in queue was less than 120 seconds. This is the numerator for Service Level calculations with a 120-second target.
QueueNumAnsweredChats120sec	Q	Counts incoming incoming chat interactions answered by an agent where the time in queue was less than 120 seconds. This is the numerator for Service Level calculations with a 120-second target.
QueueNumAnsweredInteractions120sec	Q	Counts incoming non-voice digital interactions (chat and e-mail) answered by an agent where the time in queue was less than 120 seconds. This is the numerator for Service Level calculations with a 120-second target.
QueueNumActiveCalls	Q	Real-time snapshot: how many external incoming voice calls are connected to agents at this moment (talk state). Together with 'Waiting' it shows total live load of the queue.
QueueNumActiveCallbacks	Q	Real-time snapshot: how many callback interactions (customer-requested return calls handled by the queue) are connected to agents at this moment (talk state). Together with 'Waiting' it shows total live load of the queue.
QueueNumActiveCallsAndCallbacks	Q	Real-time snapshot: how many combined voice load: external incoming calls and callbacks are connected to agents at this moment (talk state). Together with 'Waiting' it shows total live load of the queue.
QueueNumActiveChats	Q	Real-time snapshot: how many incoming chat interactions are connected to agents at this moment (talk state). Together with 'Waiting' it shows total live load of the queue.
QueueNumActiveInteractions	Q	Real-time snapshot: how many non-voice digital interactions (chat and e-mail) are connected to agents at this moment (talk state). Together with 'Waiting' it shows total live load of the queue.
QueuePctAnsweredCalls30secInc	Q	Answered-in-30-seconds external incoming voice calls divided by incoming completed external incoming voice calls. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 30 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredCallbacks30secInc	Q	Answered-in-30-seconds callback interactions (customer-requested return calls handled by the queue) divided by incoming completed callback interactions (customer-requested return calls handled by the queue). This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 30 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredCallsAndCallbacks30secInc	Q	Answered-in-30-seconds combined voice load: external incoming calls and callbacks divided by incoming completed combined voice load: external incoming calls and callbacks. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 30 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredChats30secInc	Q	Answered-in-30-seconds incoming chat interactions divided by incoming completed incoming chat interactions. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 30 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredInteractions30secInc	Q	Answered-in-30-seconds non-voice digital interactions (chat and e-mail) divided by incoming completed non-voice digital interactions (chat and e-mail). This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 30 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredCalls30secAns	Q	Answered-in-30-seconds external incoming voice calls divided by all answered external incoming voice calls. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredCallbacks30secAns	Q	Answered-in-30-seconds callback interactions (customer-requested return calls handled by the queue) divided by all answered callback interactions (customer-requested return calls handled by the queue). Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredCallsAndCallbacks30secAns	Q	Answered-in-30-seconds combined voice load: external incoming calls and callbacks divided by all answered combined voice load: external incoming calls and callbacks. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredChats30secAns	Q	Answered-in-30-seconds incoming chat interactions divided by all answered incoming chat interactions. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredInteractions30secAns	Q	Answered-in-30-seconds non-voice digital interactions (chat and e-mail) divided by all answered non-voice digital interactions (chat and e-mail). Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredCalls60secInc	Q	Answered-in-60-seconds external incoming voice calls divided by incoming completed external incoming voice calls. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 60 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredCallbacks60secInc	Q	Answered-in-60-seconds callback interactions (customer-requested return calls handled by the queue) divided by incoming completed callback interactions (customer-requested return calls handled by the queue). This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 60 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredCallsAndCallbacks60secInc	Q	Answered-in-60-seconds combined voice load: external incoming calls and callbacks divided by incoming completed combined voice load: external incoming calls and callbacks. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 60 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredChats60secInc	Q	Answered-in-60-seconds incoming chat interactions divided by incoming completed incoming chat interactions. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 60 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredInteractions60secInc	Q	Answered-in-60-seconds non-voice digital interactions (chat and e-mail) divided by incoming completed non-voice digital interactions (chat and e-mail). This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 60 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredCalls60secAns	Q	Answered-in-60-seconds external incoming voice calls divided by all answered external incoming voice calls. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredCallbacks60secAns	Q	Answered-in-60-seconds callback interactions (customer-requested return calls handled by the queue) divided by all answered callback interactions (customer-requested return calls handled by the queue). Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredCallsAndCallbacks60secAns	Q	Answered-in-60-seconds combined voice load: external incoming calls and callbacks divided by all answered combined voice load: external incoming calls and callbacks. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
UserNumMissedCalls	A	Cumulative count of times today the agent entered the "Missed Call" state — an interaction was routed to the agent and not answered. Discipline/availability indicator.
QueuePctAnsweredChats60secAns	Q	Answered-in-60-seconds incoming chat interactions divided by all answered incoming chat interactions. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredInteractions60secAns	Q	Answered-in-60-seconds non-voice digital interactions (chat and e-mail) divided by all answered non-voice digital interactions (chat and e-mail). Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredCalls120secInc	Q	Answered-in-120-seconds external incoming voice calls divided by incoming completed external incoming voice calls. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 120 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
MonSumAgentsInMissedCall	AG	Real-time count of agents whose current state is "Missed Call" — the state an agent enters after failing to answer a routed interaction. Persistent non-zero values signal routing or discipline issues.
QueuePctAnsweredCallbacks120secInc	Q	Answered-in-120-seconds callback interactions (customer-requested return calls handled by the queue) divided by incoming completed callback interactions (customer-requested return calls handled by the queue). This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 120 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredCallsAndCallbacks120secInc	Q	Answered-in-120-seconds combined voice load: external incoming calls and callbacks divided by incoming completed combined voice load: external incoming calls and callbacks. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 120 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredChats120secInc	Q	Answered-in-120-seconds incoming chat interactions divided by incoming completed incoming chat interactions. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 120 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredInteractions120secInc	Q	Answered-in-120-seconds non-voice digital interactions (chat and e-mail) divided by incoming completed non-voice digital interactions (chat and e-mail). This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 120 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueuePctAnsweredCalls120secAns	Q	Answered-in-120-seconds external incoming voice calls divided by all answered external incoming voice calls. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredCallbacks120secAns	Q	Answered-in-120-seconds callback interactions (customer-requested return calls handled by the queue) divided by all answered callback interactions (customer-requested return calls handled by the queue). Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredCallsAndCallbacks120secAns	Q	Answered-in-120-seconds combined voice load: external incoming calls and callbacks divided by all answered combined voice load: external incoming calls and callbacks. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredChats120secAns	Q	Answered-in-120-seconds incoming chat interactions divided by all answered incoming chat interactions. Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
QueuePctAnsweredInteractions120secAns	Q	Answered-in-120-seconds non-voice digital interactions (chat and e-mail) divided by all answered non-voice digital interactions (chat and e-mail). Measures the speed profile of answered traffic only: of the contacts agents did answer, how many were answered quickly. Abandoned contacts are ignored entirely.
MonAgentNumberOfInboundCallsDialer	AG	Counts dialer-type interactions (outbound-campaign calls delivered to agents as incoming) registered today, external or intercom. NOTE: description prefix says "Agent Group" while DataType is "User"; the engine resolves the non-"UsersInteraction" DataType to the queue interaction set, so this behaves as a queue-scope counter.
QueueLoginDataNumAvailableUsers	AG	Real-time count of agents of the Business Unit whose current status belongs to the AVAILABLE status group (ready to take an interaction).
QueueLoginDataNumBreakUsers	AG	Real-time count of agents whose current status belongs to the BREAK status group (lunch, short break, coffee break etc.).
QueueLoginDataNumPaperworkUsers	AG	Real-time count of agents whose current status belongs to the PAPERWORK status group (after-call work, administrative tasks).
UsersSumOnCall	AG	Real-time count of agents whose current status belongs to the ONPHONE group — actively handling customer interactions.
MonSumAgentsAnsweredCalls	AG	Counts incoming external calls and callbacks that agents of the Business Unit answered and have already finished (talk ended, no longer in queue). Computed over the agent-group interaction set (UsersInteraction).
MonSumAgentsBreakDurationPercent	AG	Cumulative percentage for today: total time agents of the Business Unit spent in BREAK-group states divided by their total logged-in time. Core shrinkage indicator.
MonSumAgentsPaperworkDurationPercent	AG	Cumulative percentage for today: total PAPERWORK-group time divided by total logged-in time of the group. Measures ACW/back-office load.
QueueNumAnsweredCalls360sec	Q	Counts incoming external incoming voice calls answered by an agent where the time in queue was less than 360 seconds. This is the numerator for Service Level calculations with a 360-second target.
QueuePctAnsweredCalls360secInc	Q	Answered-in-360-seconds external incoming voice calls divided by incoming completed external incoming voice calls. This is the industry Service Level / Telephone Service Factor: 'X% of contacts answered within 360 seconds'. Abandoned contacts stay in the denominator and therefore lower the result.
QueueCPH	Q	Number of incoming calls handled per hour by the Business Unit, computed by the engine CPH function. Productivity/throughput indicator for intraday comparison regardless of shift length.
MonAgentNumChatsCompleted	A	Counts incoming chats answered by the agent that have already ended.
MonSumAgentsMakeCalls	AG	Counts outgoing external interactions initiated by agents of the Business Unit today (computed over the agent-group interaction set).
MonAgentTalkDurationPct	A	Cumulative ONPHONE-group time divided by total login time. Practical per-agent occupancy proxy (talk-based; excludes wrap-up).
QueueLoginDataNumLoggedUsers	AG	Real-time count of agents currently signed into the platform within this Business Unit, in any status. Baseline for staffing and occupancy assessment.
UserCPH	A	Agent-level throughput: incoming calls handled normalised per hour of work, computed by the engine CPH function.
MonAgentNumChatsActive	A	Real-time count of chat interactions currently open at the agent (chat concurrency).
UserNumAllIntercom	A	Counts intercom interactions of the agent today, any direction. Internal communication load.
MonAgentNumberOfInboundCalls15sec	A	Counts incoming external calls/callbacks whose talk time was below 15 seconds. A spike usually means premature disconnects or "call dumping" and is a standard quality red flag.
MonAgentNumberOfInboundCalls10Min	A	Counts incoming external calls/callbacks whose talk time exceeded 600 seconds. Highlights unusually long conversations for coaching or complexity analysis.
MonAgentNumberOfInboundCallsWithIntercom	A	Counts incoming voice interactions (calls and callbacks) handled by the agent today, including both external and intercom (internal) calls.
MonAgentNumberOfConsultCalls	A	Cumulative count of times the agent entered the "Consulting Call" state — consulting a colleague/expert during interaction handling.
MonAgentNumberOfMakeCalls	A	Counts outgoing external voice calls initiated by the agent today.
MonAgentNumMakeCallsInCompleted	A	Counts incoming calls and callbacks answered by the agent that are already completed (talk ended). NOTE: the MetricId mentions "MakeCalls" for historical reasons — the metric actually counts INCOMING answered interactions.
MonAgentOutgoingCallbacksNum	A	Counts outgoing callback interactions (dial-backs to customers) made by the agent and answered today.
MonAgentProxyCallsNum	A	Counts incoming callback interactions answered by the agent today (excluding the original callback requests themselves).
MessagesMaxFirstResponseTime	Q	The maximum time customers waited today for the FIRST agent reply in messaging channels. Worst-case indicator of digital responsiveness.
MessagesAvgFirstResponseTime	Q	Average time between message arrival and the first agent response. The key responsiveness KPI (FRT) for chat/messaging channels.
MessagesAvgResponseTime	Q	Average time between any customer message and the following agent reply. Measures sustained conversation responsiveness, not only the first touch.
QueueCurMaxWaitTimeCalls	Q	Real-time metric: among external incoming voice calls currently waiting in queue, the wait time of the longest-waiting one. Falls to zero when the queue is empty. The classic wallboard 'Longest Wait' indicator for immediate intervention.
QueueCurMaxWaitTimeCallbacks	Q	Real-time metric: among callback interactions (customer-requested return calls handled by the queue) currently waiting in queue, the wait time of the longest-waiting one. Falls to zero when the queue is empty. The classic wallboard 'Longest Wait' indicator for immediate intervention.
QueueCurMaxWaitTimeCallsAndCallbacks	Q	Real-time metric: among combined voice load: external incoming calls and callbacks currently waiting in queue, the wait time of the longest-waiting one. Falls to zero when the queue is empty. The classic wallboard 'Longest Wait' indicator for immediate intervention.
QueueCurMaxWaitTimeChats	Q	Real-time metric: among incoming chat interactions currently waiting in queue, the wait time of the longest-waiting one. Falls to zero when the queue is empty. The classic wallboard 'Longest Wait' indicator for immediate intervention.
QueueCurMaxWaitTimeInteractions	Q	Real-time metric: among non-voice digital interactions (chat and e-mail) currently waiting in queue, the wait time of the longest-waiting one. Falls to zero when the queue is empty. The classic wallboard 'Longest Wait' indicator for immediate intervention.
QueueAvgWaitTimeCalls	Q	Average time spent in queue by external incoming voice calls whose queue phase has completed today. Note: both answered and abandoned interactions are included, so this is broader than the classic ASA (Average Speed of Answer), which covers answered contacts only.
QueueAvgWaitTimeCallbacks	Q	Average time spent in queue by callback interactions (customer-requested return calls handled by the queue) whose queue phase has completed today. Note: both answered and abandoned interactions are included, so this is broader than the classic ASA (Average Speed of Answer), which covers answered contacts only.
QueueAvgWaitTimeCallsAndCallbacks	Q	Average time spent in queue by combined voice load: external incoming calls and callbacks whose queue phase has completed today. Note: both answered and abandoned interactions are included, so this is broader than the classic ASA (Average Speed of Answer), which covers answered contacts only.
QueueAvgWaitTimeChats	Q	Average time spent in queue by incoming chat interactions whose queue phase has completed today. Note: both answered and abandoned interactions are included, so this is broader than the classic ASA (Average Speed of Answer), which covers answered contacts only.
QueueAvgWaitTimeInteractions	Q	Average time spent in queue by non-voice digital interactions (chat and e-mail) whose queue phase has completed today. Note: both answered and abandoned interactions are included, so this is broader than the classic ASA (Average Speed of Answer), which covers answered contacts only.
QueueAvgTimeToAbandCalls	Q	Average queue time of abandoned external incoming voice calls: how long customers were prepared to wait before giving up. Useful for setting realistic Service Level targets — if customers abandon at 40 seconds, a 60-second target is too slow.
QueueAvgTimeToAbandCallbacks	Q	Average queue time of abandoned callback interactions (customer-requested return calls handled by the queue): how long customers were prepared to wait before giving up. Useful for setting realistic Service Level targets — if customers abandon at 40 seconds, a 60-second target is too slow.
QueueAvgTimeToAbandCallsAndCallbacks	Q	Average queue time of abandoned combined voice load: external incoming calls and callbacks: how long customers were prepared to wait before giving up. Useful for setting realistic Service Level targets — if customers abandon at 40 seconds, a 60-second target is too slow.
QueueAvgTimeToAbandChats	Q	Average queue time of abandoned incoming chat interactions: how long customers were prepared to wait before giving up. Useful for setting realistic Service Level targets — if customers abandon at 40 seconds, a 60-second target is too slow.
QueueAvgTimeToAbandInteractions	Q	Average queue time of abandoned non-voice digital interactions (chat and e-mail): how long customers were prepared to wait before giving up. Useful for setting realistic Service Level targets — if customers abandon at 40 seconds, a 60-second target is too slow.
QueueAvgTalkingDurationCalls	Q	Average talk-phase duration of incoming external incoming voice calls that have been completed today (currently active ones are excluded until they finish). Talk time is the agent-customer conversation phase, one of the components of Average Handling Time (AHT) together with hold and wrap-up.
QueueAvgTalkingDurationCallbacks	Q	Average talk-phase duration of incoming callback interactions (customer-requested return calls handled by the queue) that have been completed today (currently active ones are excluded until they finish). Talk time is the agent-customer conversation phase, one of the components of Average Handling Time (AHT) together with hold and wrap-up.
